content,score,at,platform_type,token,lemmatized,clean,period,topic_no,cluster
banyak spam telpon untuk promosi ajakan buka akun paylater,1,2024-12-11 4:15:16,banking,"['spam', 'telpon', 'promosi', 'ajakan', 'buka', 'akun', 'paylater']",spam telpon promosi ajak buka akun,spam telpon promosi ajakan buka akun paylater,2024-12-01,3,3_akun tutup_email layan_spam sms_upgrade akun
buruk ketika saya ingin membayar saya iklan selalu muncul dan mengganggu sangat mengganggu buang waktu,1,2024-10-09 3:25:54,banking,"['buruk', 'membayar', 'iklan', 'muncul', 'mengganggu', 'mengganggu', 'buang']",buruk bayar iklan muncul ganggu ganggu buang,buruk membayar iklan muncul mengganggu mengganggu buang,2024-10-01,20,20_iklan bayar_bayar iklan_iklan limit_iklan hilang
bagi saya ini bekerja dengan sangat baik saya rasa ini adalah satu satunya yang menyediakan yang bisa ditarik hampir seperti kartu kredit tapi tanpa kartu tapi bunganya lebih tinggi dari kartu kredit,5,2024-03-31 18:46:17,banking,"['satunya', 'menyediakan', 'ditarik', 'kartu', 'kredit', 'kartu', 'bunganya', 'kartu', 'kredit']",satu sedia tarik kartu kredit kartu bunga kartu kredit,satunya menyediakan ditarik kartu kredit kartu bunganya kartu kredit,2024-03-01,-1,Outlier
saya menerima sms dari bank yang menyatakan bahwa saya terpilih untuk mendapatkan limit beserta link unduh aplikasi nya namun 1 detik setelah mendaftar pengajuan saya ditolak penipuan yang sangat hebat jangan memasang ini,1,2022-12-23 9:14:44,banking,"['menerima', 'sms', 'bank', 'terpilih', 'limit', 'beserta', 'link', 'unduh', 'aplikasi', 'nya', '1', 'detik', 'mendaftar', 'pengajuan', 'ditolak', 'penipuan', 'hebat', 'memasang']",sms  pilih limit serta link unduh   1 detik daftar aju tolak tipu hebat pasang,menerima sms bank terpilih limit beserta link unduh aplikasi nya 1 detik mendaftar pengajuan ditolak penipuan hebat memasang,2022-12-01,3,3_akun tutup_email layan_spam sms_upgrade akun
indosat im3 terus mengirimi saya pesan tentang tempat sampah ini agar saya bisa mendaftarkan tapi nyatanya tidak ada pinjaman langsung anda harus mengisi banyak formulir dan mereka tidak akan meminjamkan uang mereka hanya pencuri data,1,2023-06-15 10:05:25,banking,"['indosat', 'im3', 'mengirimi', 'pesan', 'sampah', 'mendaftarkan', 'pinjaman', 'langsung', 'mengisi', 'formulir', 'meminjamkan', 'uang', 'pencuri', 'data']",indosat im3  pesan sampah daftar pinjam langsung isi formulir pinjam uang curi data,indosat im3 mengirimi pesan sampah mendaftarkan pinjaman langsung mengisi formulir meminjamkan uang pencuri data,2023-06-01,-1,Outlier
bank adalah yang terbaik sangat mudah digunakan,5,2024-09-09 3:49:49,banking,"['bank', 'terbaik', 'mudah']",baik mudah,bank terbaik mudah,2024-09-01,12,12_mudah simpel_mudah fleksibel_fitur mudah_proses mudah
selalu error jaringan saat foto ktp untuk aktivasi dana instan keuangan yang tidak berguna,1,2023-01-11 12:27:04,banking,"['error', 'jaringan', 'foto', 'ktp', 'aktivasi', 'dana', 'instan', 'keuangan', 'berguna']",error jaring foto ktp aktivasi dana instan uang guna,error jaringan foto ktp aktivasi dana instan keuangan berguna,2023-01-01,15,15_ktp gagal_ktp buruk_ktp keluar_unggah ktp
sms yang masuk terlalu banyak tapi setelah coba aktif gagal dan coba lagi nanti sangat kecewa,1,2024-03-13 12:15:38,banking,"['sms', 'masuk', 'coba', 'aktif', 'gagal', 'coba', 'kecewa']",sms masuk coba aktif gagal coba kecewa,sms masuk coba aktif gagal coba kecewa,2024-03-01,3,3_akun tutup_email layan_spam sms_upgrade akun
promosi janji busuk,1,2024-08-08 6:08:58,banking,"['promosi', 'janji', 'busuk']",promosi janji busuk,promosi janji busuk,2024-08-01,20,20_iklan bayar_bayar iklan_iklan limit_iklan hilang
adalah solusi pembayaran yang sangat praktis dan terpercaya proses pendaftaran mudah limit cepat disetujui dan dapat digunakan untuk berbagai transaksi daring maupun offline bunga kompetitif dan tenor cicilan fleksibel membuatnya sangat membantu untuk kebutuhan mendesak layanan pelanggan juga responsif dan ramah sangat puas menggunakan benar mempermudah hidup saya,5,2025-01-03 0:11:01,banking,"['solusi', 'pembayaran', 'praktis', 'terpercaya', 'proses', 'pendaftaran', 'mudah', 'limit', 'cepat', 'disetujui', 'transaksi', 'daring', 'offline', 'bunga', 'kompetitif', 'tenor', 'cicilan', 'fleksibel', 'membuatnya', 'membantu', 'kebutuhan', 'mendesak', 'layanan', 'pelanggan', 'responsif', 'ramah', 'puas', 'mempermudah', 'hidup']",solusi bayar praktis terpercaya proses daftar mudah limit cepat tuju transaksi daring offline bunga kompetitif tenor cicil fleksibel buat bantu butuh desak layan langgan responsif ramah puas mudah hidup,solusi pembayaran praktis terpercaya proses pendaftaran mudah limit cepat disetujui transaksi daring offline bunga kompetitif tenor cicilan fleksibel membuatnya membantu kebutuhan mendesak layanan pelanggan responsif ramah puas mempermudah hidup,2025-01-01,4,4_transaksi mudah_dompet digital_digital dompet_mudah transaksi
idih amit feature macam apa itu nambahin limit pakai uang sendiri sudah begitu di bungain lagi amit idih masih berasa jijik sampai merinding,1,2024-12-18 10:40:22,banking,"['idih', 'amit', 'feature', 'nambahin', 'limit', 'pakai', 'uang', 'bungain', 'amit', 'idih', 'berasa', 'jijik', 'merinding']",idih amit feature nambahin limit pakai uang bungain amit idih rasa jijik merinding,idih amit feature nambahin limit pakai uang bungain amit idih berasa jijik merinding,2024-12-01,-1,Outlier
yang membantu banget punya fitur yang mudah pencairannya dan tenor yang panjang,5,2024-12-18 17:50:42,banking,"['membantu', 'banget', 'fitur', 'mudah', 'pencairannya', 'tenor']",bantu  fitur mudah cair tenor,membantu banget fitur mudah pencairannya tenor,2024-12-01,12,12_mudah simpel_mudah fleksibel_fitur mudah_proses mudah
akhirnya bank punya bank punya yang aman loh,5,2025-01-04 0:08:24,banking,"['bank', 'bank', 'aman', 'loh']",aman loh,bank bank aman loh,2025-01-01,13,13_aman aman_aman_aman milik_amann aman
harus edit ulasan dkasih bahasa inggris masih tidak mengerti juga hampir tiap hari disms in telpon soal yang begitu masuk tetap saja tidak ada mohon jangan sms telpon kalau memang tidak ada mau nabung biar urusan orang tapi tidak perlu sok nawarin yang kayaknya bukan buat saya terima kasih,1,2024-11-25 9:35:01,banking,"['edit', 'ulasan', 'dkasih', 'bahasa', 'inggris', 'mengerti', 'disms', 'in', 'telpon', 'masuk', 'mohon', 'sms', 'telpon', 'nabung', 'biar', 'urusan', 'orang', 'sok', 'nawarin', 'kayaknya', 'terima', 'kasih']",edit ulas dkasih bahasa inggris erti disms in telpon masuk  sms telpon nabung biar urus orang sok nawarin,edit ulasan dkasih bahasa inggris mengerti disms in telpon masuk mohon sms telpon nabung biar urusan orang sok nawarin kayaknya terima kasih,2024-11-01,3,3_akun tutup_email layan_spam sms_upgrade akun
terima kasih bank memang ini proses pengajuan benar cepat dan mudah pokok nya puas saya,5,2024-11-29 1:05:46,banking,"['terima', 'kasih', 'bank', 'proses', 'pengajuan', 'cepat', 'mudah', 'pokok', 'nya', 'puas']",proses aju cepat mudah pokok  puas,terima kasih bank proses pengajuan cepat mudah pokok nya puas,2024-11-01,12,12_mudah simpel_mudah fleksibel_fitur mudah_proses mudah
mau yang diawasi ojk ya di dong,5,2024-11-22 23:53:31,banking,"['diawasi', 'ojk', 'ya']",awas ojk,diawasi ojk ya,2024-11-01,1,1_awas ojk_ojk aman_lindung ojk_ojk mantap
berbulan bulan pakai untuk pembayaran ini itu dan transfer sana sini tapi belum pernah dikasih saya on the way uninstall not rekomendasi cari bank lain saja yang lebih lengkap service nya,1,2024-10-31 9:00:19,banking,"['berbulan', 'pakai', 'pembayaran', 'transfer', 'dikasih', 'on', 'the', 'way', 'uninstall', 'not', 'rekomendasi', 'cari', 'bank', 'lengkap', 'service', 'nya']",bulan pakai bayar transfer  on the way uninstall not rekomendasi cari  lengkap service,berbulan pakai pembayaran transfer dikasih on the way uninstall not rekomendasi cari bank lengkap service nya,2024-10-01,-1,Outlier
bank menyediakan layanan yang praktis aman dan terpercaya jangan khawatir layanan ini telah diawasi langsung oleh ojk sehingga aman digunakan cocok bagi yang butuh pembayaran fleksibel tanpa rumit dari bank jadi solusi terpercaya untuk memenuhi kebutuhan kapan saja,5,2024-10-29 8:18:05,banking,"['bank', 'menyediakan', 'layanan', 'praktis', 'aman', 'terpercaya', 'khawatir', 'layanan', 'diawasi', 'langsung', 'ojk', 'aman', 'cocok', 'butuh', 'pembayaran', 'fleksibel', 'rumit', 'bank', 'solusi', 'terpercaya', 'memenuhi', 'kebutuhan']",sedia layan praktis aman terpercaya khawatir layan awas langsung ojk aman cocok butuh bayar fleksibel rumit  solusi terpercaya penuh butuh,bank menyediakan layanan praktis aman terpercaya khawatir layanan diawasi langsung ojk aman cocok butuh pembayaran fleksibel rumit bank solusi terpercaya memenuhi kebutuhan,2024-10-01,1,1_awas ojk_ojk aman_lindung ojk_ojk mantap
bank sangat aman dan dapat dipercaya karena dibawah pengawasan yang berwenang ojk,5,2024-11-06 2:41:41,banking,"['bank', 'aman', 'dipercaya', 'dibawah', 'pengawasan', 'berwenang', 'ojk']",aman percaya bawah awas wenang ojk,bank aman dipercaya dibawah pengawasan berwenang ojk,2024-11-01,1,1_awas ojk_ojk aman_lindung ojk_ojk mantap
tidak usah kirim sms berkali kali menawar akan kalau hasil pengajuan saya di tolak sangat mengganggu,1,2024-10-15 8:27:02,banking,"['kirim', 'sms', 'berkali', 'kali', 'menawar', 'hasil', 'pengajuan', 'tolak', 'mengganggu']",sms   tawar hasil aju tolak ganggu,kirim sms berkali kali menawar hasil pengajuan tolak mengganggu,2024-10-01,3,3_akun tutup_email layan_spam sms_upgrade akun
ini membantu banget kamu untuk melakukan transaksi apapun pakai dan bebas biaya admin ini bukan pinjol ini juga sudah dilindungi ojk lhoo,5,2024-09-14 11:13:37,banking,"['membantu', 'banget', 'transaksi', 'apapun', 'pakai', 'bebas', 'biaya', 'admin', 'pinjol', 'dilindungi', 'ojk', 'lhoo']",bantu  transaksi apa pakai bebas biaya admin pinjol lindung ojk lhoo,membantu banget transaksi apapun pakai bebas biaya admin pinjol dilindungi ojk lhoo,2024-09-01,1,1_awas ojk_ojk aman_lindung ojk_ojk mantap
yang sangat membantu dan gampang untuk digunakan sudah gratis biaya transfer ada juga aman,5,2024-09-05 3:11:28,banking,"['membantu', 'gampang', 'gratis', 'biaya', 'transfer', 'aman']",bantu gampang gratis biaya transfer aman,membantu gampang gratis biaya transfer aman,2024-09-01,9,9_bebas biaya_gratis transfer_transfer gratis_gratis biaya
tidak usah promo kalau ujungnya di tolak unduh cuma karena pakai buat parkir di trans selebihnya tidak terpakai,1,2024-09-01 5:54:24,banking,"['promo', 'ujungnya', 'tolak', 'unduh', 'pakai', 'parkir', 'trans', 'selebihnya', 'terpakai']",promo ujung tolak unduh pakai parkir trans lebih pakai,promo ujungnya tolak unduh pakai parkir trans selebihnya terpakai,2024-09-01,-1,Outlier
fitur layanan bank menyediakan layanan perbankan digital yang lengkap mulai dari dompet tabungan hingga pinjaman dan dana tunai,5,2024-08-01 15:24:23,banking,"['fitur', 'layanan', 'bank', 'menyediakan', 'layanan', 'perbankan', 'digital', 'lengkap', 'dompet', 'tabungan', 'pinjaman', 'dana', 'tunai']",fitur layan  sedia layan  digital lengkap dompet tabung pinjam dana tunai,fitur layanan bank menyediakan layanan perbankan digital lengkap dompet tabungan pinjaman dana tunai,2024-08-01,4,4_transaksi mudah_dompet digital_digital dompet_mudah transaksi
