content,factor_label,score
banyak spam telpon untuk promosi ajakan buka akun paylater,AA,1
buruk ketika saya ingin membayar saya iklan selalu muncul dan mengganggu sangat mengganggu buang waktu,AE,1
saya menerima sms dari bank yang menyatakan bahwa saya terpilih untuk mendapatkan limit beserta link unduh aplikasi nya namun 1 detik setelah mendaftar pengajuan saya ditolak penipuan yang sangat hebat jangan memasang ini,AA,1
bank adalah yang terbaik sangat mudah digunakan,EU,5
selalu error jaringan saat foto ktp untuk aktivasi dana instan keuangan yang tidak berguna,AA,1
sms yang masuk terlalu banyak tapi setelah coba aktif gagal dan coba lagi nanti sangat kecewa,AA,1
promosi janji busuk,AE,1
adalah solusi pembayaran yang sangat praktis dan terpercaya proses pendaftaran mudah limit cepat disetujui dan dapat digunakan untuk berbagai transaksi daring maupun offline bunga kompetitif dan tenor cicilan fleksibel membuatnya sangat membantu untuk kebutuhan mendesak layanan pelanggan juga responsif dan ramah sangat puas menggunakan benar mempermudah hidup saya,EU,5
yang membantu banget punya fitur yang mudah pencairannya dan tenor yang panjang,EU,5
akhirnya bank punya bank punya yang aman loh,UP,5
harus edit ulasan dkasih bahasa inggris masih tidak mengerti juga hampir tiap hari disms in telpon soal yang begitu masuk tetap saja tidak ada mohon jangan sms telpon kalau memang tidak ada mau nabung biar urusan orang tapi tidak perlu sok nawarin yang kayaknya bukan buat saya terima kasih,AA,1
terima kasih bank memang ini proses pengajuan benar cepat dan mudah pokok nya puas saya,EU,5
mau yang diawasi ojk ya di dong,UP,5
bank menyediakan layanan yang praktis aman dan terpercaya jangan khawatir layanan ini telah diawasi langsung oleh ojk sehingga aman digunakan cocok bagi yang butuh pembayaran fleksibel tanpa rumit dari bank jadi solusi terpercaya untuk memenuhi kebutuhan kapan saja,UP,5
bank sangat aman dan dapat dipercaya karena dibawah pengawasan yang berwenang ojk,UP,5
tidak usah kirim sms berkali kali menawar akan kalau hasil pengajuan saya di tolak sangat mengganggu,AA,1
ini membantu banget kamu untuk melakukan transaksi apapun pakai dan bebas biaya admin ini bukan pinjol ini juga sudah dilindungi ojk lhoo,UP,5
yang sangat membantu dan gampang untuk digunakan sudah gratis biaya transfer ada juga aman,UP,5
fitur layanan bank menyediakan layanan perbankan digital yang lengkap mulai dari dompet tabungan hingga pinjaman dan dana tunai,EU,5
dapat informasi dari teman kalau ada yang memudahkan untuk transaksi dan nemuin ini bagus banget registrasi tidak rumit dan cepat juga tersedia nya,EU,5
secara keseluruhan suka banget sih nyimpen uang di soalnya bisa bebas admin ke mana saja terus kalau pakai grow juga mayan cuan soalnya bunganya gedee saya juga pakai paylaternyaa dahulu pas awal ragu tapi ternyata amann bukan pinjol tidak jelas soalnya diawasin langsung sama ojk gess,UP,5
saya kira di bank ini sama saja kayak pinjol tidak jelas di luaran sama ternyata aman banget karena dilindungi ojk,UP,5
di bank aman dan terpercaya,UP,5
enak banget pakai bank soalnya kemana mana sudah gratis admin transfer apalagi sudah ada yang diawasi ojk jadi aman banget,UP,5
bukan pinjol tidak jelas dan dilindungi ojk jadi buat kalian yang butuh pinjaman pakai bank saja rekomendasi banget,UP,5
di bank aman ya jadi tenang kalau pakai bank dapat dipercaya sekali rekomendasi aplikasi buat yang suka paylater,UP,5
klik tanggal 8 nov pilih tenor 1 bulan ditagih keesokan harinya 9 nov 1 hari sejak saya ajukan telf ke call center tanggal 8 nov malam dengan aril bersikeras besok harus di bayar tidak solutif hati ya ges ya sudah whatsapp telf ke cust centernya juga tetap tidak bisa dirubah harus boncoss sebesar 8 untuk pinjaman 1 hari,AC,1
yang keren banget sebuah bank digital dan dompet digital dengan fitur dan instan tunai juga proses registrasi yang mudah hanya dengan 5 menit untuk mendaftar secara daring bebas biaya admin dong mantap banget akan,EU,5
ngelakuin transaksi apapun di bank benaran simpel banget tidak ada biaya admin untuk tf antar bank ada fitur yang instan cair dan bisa buka deposit juga dari bank,EU,5
pendaftaran system sering bermasalah padahal data ktp sudah di collect tinggal verifikasi wajah dari segala posisi yang bermasalah habis di perbarui data yang pernah didaftarkan ke reset harus foto ulang ktp dan error terus tidak bisa upgrade layanan bad aplikasi,AA,1
ada opsi untuk pengajuan langkah pertama lakukan foto ktp namun setiap kali melakukan foto ktp selalu gagal muncul pesan anda tidak terhubung dengan jaringan internet dicoba beberapa kali namun tetap sama jadi lebih baik uninstall saja kalau sudah lebih baik baru reinstall,AA,2
bagus aplication hanya butuh beberapa menit untuk daftar dan dalam hitungan detik di approved dengan limit yang lumayan perbankan yang user friendly saat ini,EU,5
terima kasih berkat bank urusan perbankan saya jadi lebih mudah beragam promo menarik dan pastinya terima kasih bank,EU,5
dasyatnya marketing sales promo dimana namun besar fungsi dari digital bank ini semua merchant under contruction transaksi dahulu baru fitur ini keluar bagaimana bisa transaksi apapun kalau malfungsion semua sekelas bank kok peluncuran produk tidak siap sama sekali dalam berbisnis sorry ya buang memory saja di hape saya uninstall done,CA,1
ini pinjaman daring atau digital bank agak aneh sih kalau digital bank kayaknya tidak kayak yang lain jago jenius dan lain lain tidak ada kartu digital buat payment tapi ada nama bank bahkan ada berita jadi kayak e commerce yang ada imho,EU,2
sebagai pengguna setia bank aku sangat puas dengan layanannya fitur sangat membantu dalam memenuhi kebutuhan mendesak selain itu produk grow juga memberikan keuntungan yang menarik,CA,5
sekarang mulai ketagihan pakai bank tidak nyangka bisa bebas biaya transfer kemana saja kalau mengajukan juga cepat dan tidak rumit lagi tapi diawasi oleh ojk loh,UP,5
kecewa dengan pelayanannya sudah lunas dan terima surat pelunasan namun belum juga di hapus tagihan hingga hari pasca pelunasan dan hanya di minta menunggu oleh pelayanan pelanggannya tanpa kejelasan dan kepastian prosesnya berapa lama banyak teman yang mengeluh hal yang sama juga ternyata,AC,1
e wallet yang mudahin pengguna banget bahkan registrasi tidak sampai 5 menit dan ada fitur sekaligus instan tunai,EU,5
tukang spam selalu di sms padahal aplikasinya sudah di nonaktifin,AA,1
ketemu yang mudah dan terpercaya mah bukan pinjol tidak jelas dan dilindungi ojk kemarin saya coba ternyata gratis biaya admin bayar tagihan pulsa pln paket data,UP,5
perbankan digital yang punya banyak kelebihan dari bebas biaya admin bebas biaya transfer dan bisa juga sudah aman karena diawasi ojk,UP,5
awal setujui lalu blokir tanpa alasan yang jelas,AP,1
bisa melakukan transfer bebas biaya admin ada juga bank yang terpenting pinjol disini bukan pinjol abal sudah dilindungi oleh ojk jika anda punya tagihan pln pulsa dan masih banyak lagi bisa bebas biaya admin,UP,5
sangat membantu kita dalam menggunakan yang aman dan nyaman,UP,5
tolong buat penambahan limit bca paylater,CLA,5
terima kasih sudah memberi kesempatan dan kepercayaan dari jadi bisa berbelanja keperluan dan kebutuhan saya juga konsumen saya,CA,5
tolong ui bagian di perbaiki ini tagihan sisa berapa perlu bayar berapa tagihan apa yang dibayar dan lain lain tidak jelas ada dimana,AC,4
aplikasi nya bagus tampilannya juga keren fitur fitur nya lengkap mau bayar apa saja mudah dan cepat bisa nabung deposito dengan mudah dan aman terdaftar di ojk pasti aman proses pendaftaran dan transaksi juga cepat sukses selalu bank,UP,5
aplikasi nya bagus tampilannya juga keren terdaftar di ojk pasti aman fitur nya banyak mau bayar apa saja mudah dan cepat bisa nabung deposito dengan aman dan mudah belanja di transmart dengan bank dapat diskon banyak banget keuntungannya rekomendasi banget untuk pakai bank,UP,5
aplikasi nya bagus tampilannya juga keren terdaftar di ojk pasti aman fitur nya banyak mau bayar apa saja mudah dan cepat bisa nabung deposito dengan aman dan mudah belanja di transmart dengan bank dapat diskon banyak banget keuntungannya,UP,5
aplikasi nya bagus tampilannya juga keren terdaftar di ojk pasti aman fitur nya banyak mau bayar apa saja mudah dan cepat bisa nabung deposito dengan aman dan mudah belanja di transmart dengan bank dapat diskon banyak banget keuntungannya,UP,5
bank memberikan kemudahan menabung dan bertransaksi langsung hanya lewat handphone loh aman dan nyaman pakainya karena diawasi ojk aku suka pakai bank ini karena bebas biaya transfer dan bebas biaya admin bertransaksi ada juga yang tentunya aman buat kita sukses selalu bank,UP,5
bank memiliki proses pengajuan yang sangat mudah dan cepat pengguna hanya perlu mengunduh melakukan foto selfie dan mengisi formulir sederhana untuk mengajukan fasilitas ini,EU,5
aplikasi nya bagus tampilannya juga keren terdaftar di ojk pasti aman fitur nya banyak mau bayar apa saja mudah dan cepat bisa nabung deposito dengan aman dan mudah,UP,5
yang sangat bagus bebas biaya admin bayar tagihan pulsa paket data dan lain lain sangat mudah dan yang pasti aman dan diawasi ojk ini juga punya tapi bukan pinjol ya,UP,5
yang sangat bagus ada juga terus aman banget bunganya juga tidak besar admin juga gratiss bagus banget kalian harus unduh sih,UP,5
bank yang sangat aman dan mudah untuk apalagi sudah di awasi oleh ojk lebih terpercaya dan mudah untuk pemula karena panduan sangat jelas,UP,5
bagus dan tampilannya juga keren sudat terdaftar di ojk dan aman digunakan jangka panjang pembayaran apapun mudah dan cepat fitur aplikasi nya juga lengkap bisa nabung deposito hingga aman dan mudah belanja dan pembayaran apapun lebih mudah menggunakan bank,UP,5
aplikasi nya bagus tampilannya juga keren terdaftar di ojo pasti aman fitur banyak mau bayar apa saja mudah dan cepat bisa nabung deposito dengan aman dan mudah,UP,5
aplikasi nya bagus tampilannya juga keren terdaftar di ojk pasti aman fitur nya banyak mau bayar apa saja mudah dan cepat bisa nabung deposito dengan aman dan mudah,UP,5
akun bank ini sudah di awasi dengan ojk dan aman untuk digunakan bisa untuk tf beda bank tanpa admin dan bank ini juga yang aman gratis biaya admin bayar tagihan isi pulsa listrik dan paket data,UP,5
yang satu ini sungguh benar hebat dan keren karena dengan ini kita diberikan kemudahan untuk berbelanja seperti top up beli token listrik token pulsa dan berbelanja yang lainnya tidak hanya itu kita juga bisa meminjam di bank ini lo yang mana ini sudah di lindungi ojk loh keren banget pokoknya tidak menyesal deh pakai bank,CA,5
saya sangat nyaman sekali menggunakan alo bank mau bayar cicilan transfer mudah sekali dan cepat dan ada lagi aman bank di awasi ojk mantap pokoknya kalau ada rating 1 saya kasih rating 1 allobank,UP,5
saya mau daftar tapi keterangannya selalu data sudah digunakan pada akun lain sedangkan saya merasa tidak memakai ktp saya mohon segera di perbaiki sistem nya,AA,1
parah habis iklannya tidak mau menghilang waktu mau lunasi tidak bisa masuk ke menu bagaimana cara saya mau bayar ini kalau iklannya tidak hilang membuang waktu saya,AE,1
bank ini rekomendasi banget asli sudah bebas biaya transfer atau biasa yang kita sebut gratis admin fitur juga melimpah contohnya seperti yang aman yang sudah dilindungi oleh ojk otoritas jasa keuangan bank juga menawarkan produk keuangan seperti prime tabungan digital untuk berbagai kebutuhan dijamin aman karena diawasi oleh ojk juga gratis transfer ke bank manapun fee admin tagihan pulsa pln paket data dan lain sebagainya pokoknya rekomendasi banget,UP,5
turunin lagi bintangnya aplikasi yang sangatlah aneh ada tapi tidak bisa di pakai alias di bekukan buat apa gunanya jika tidak bisa di pakai mau hapus data mentok di vermuk saja tidak jelas,AR,1
di tlfon sama pelayanan pelanggan disuruh pakai nanti untuk pembayaran katanya tidak usah pakai bunga karena ada coupon yang otomatis kepakai pada waktu yang di tentukan tapi pas pakai bahkan bunganya tetap menyesal jadinya pakai paylater,CA,2
bank yang mudah digunakan memberikan layanan seperti serasa bank yang bisa dibawa kemana transfer gratis kesemua bank terdapat fitur yang aman dan diawasi oleh ojk produk grow memberikan bunga yang besar dan dapat ditarik sewaktu waktu bisa bayar pulsa paket data tagihan listrik dan lain lain bebas biaya admin,UP,5
bank kini makin lengkap dengan fitur saya sudah coba prosesnya cepat mudah digunakan dan tentunya aman karena sudah diawasi oleh ojk cocok banget buat kebutuhan mendesak tanpa rumit semoga ke depannya terus berkembang dengan fitur menarik lainnya,UP,5
baru kali ini saya nemuin yang benar cepat banget semua proses pembayaran pun bahkan sudah di awasi ojk dan pastinya sudah aman ya,UP,5
yang mudah dicari dan aman cocok untuk semua kelangan malas gerak karena bisa tranfer kapanpun dan dimanapun,UP,5
bank memang mantap bisa menabung proses pinjaman cair dengan mudah bunga kecil membantu mengatasi masalah keuangan semoga semakin maju semakin sukses bank,EU,5
bank benar memudahkan transfer bebas biaya admin dan fitur sangat aman karena sudah diawasi oleh ojk tidak seperti pinjol biasa memberikan rasa tenang dan terpercaya produk grow juga fleksibel dengan bunga kompetitif dananya bisa ditarik kapan saja ditambah admin gratis untuk pembayaran tagihan seperti pulsa pln dan lainnya sangat rekomendasi,UP,5
berkali telpon suruh mengajukan di tolak terus katanya harus ada transaksi sudah lebih 1 juta tetap tolak ngerjain orang saja,AA,1
kalau bisa itu bisa dibayar sebelum tanggal jatuh tempo misal tanggal 1 waktunya bayar seharusnya bayar sebelum tanggal 1 harusnya bisa misal tanggal 5 6 7 8 9 3,AC,4
